state,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
ALABAMA,Hoover,85670.0,114.0,4.0,15.0,27.0,68.0,1922.0,128.0,1694.0,100.0,2.0,2019-12-31
ALASKA,Anchorage,287731.0,3581.0,32.0,540.0,621.0,2388.0,12261.0,1692.0,9038.0,1531.0,93.0,2019-12-31
ALASKA,Bethel,6544.0,130.0,1.0,47.0,3.0,79.0,132.0,20.0,84.0,28.0,12.0,2019-12-31
ALASKA,Bristol Bay Borough,852.0,2.0,0.0,0.0,0.0,2.0,20.0,5.0,8.0,7.0,0.0,2019-12-31
ALASKA,Cordova,2150.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,2019-12-31
ALASKA,Craig,1313.0,7.0,0.0,0.0,0.0,7.0,20.0,5.0,12.0,3.0,0.0,2019-12-31
ALASKA,Dillingham,2405.0,49.0,1.0,3.0,1.0,44.0,58.0,11.0,37.0,10.0,0.0,2019-12-31
ALASKA,Fairbanks,31493.0,247.0,3.0,33.0,52.0,159.0,1353.0,163.0,1006.0,184.0,23.0,2019-12-31
ALASKA,Haines,2441.0,9.0,0.0,0.0,0.0,9.0,13.0,1.0,10.0,2.0,0.0,2019-12-31
ALASKA,Homer,5913.0,12.0,0.0,0.0,0.0,12.0,146.0,11.0,118.0,17.0,,2019-12-31
ALASKA,Juneau,31810.0,289.0,3.0,24.0,45.0,217.0,1292.0,187.0,1012.0,93.0,16.0,2019-12-31
ALASKA,Kenai,7862.0,75.0,2.0,28.0,3.0,42.0,446.0,46.0,353.0,47.0,2.0,2019-12-31
ALASKA,Ketchikan,8316.0,40.0,0.0,9.0,1.0,30.0,421.0,32.0,368.0,21.0,2.0,2019-12-31
ALASKA,Kodiak,5947.0,49.0,0.0,14.0,4.0,31.0,190.0,37.0,122.0,31.0,3.0,2019-12-31
ALASKA,Kotzebue,3272.0,77.0,0.0,22.0,7.0,48.0,83.0,19.0,47.0,17.0,2.0,2019-12-31
ALASKA,Nome,3899.0,107.0,0.0,59.0,1.0,47.0,53.0,14.0,32.0,7.0,0.0,2019-12-31
ALASKA,North Pole,2111.0,16.0,0.0,3.0,0.0,13.0,79.0,12.0,63.0,4.0,1.0,2019-12-31
ALASKA,North Slope Borough,9801.0,123.0,2.0,6.0,0.0,115.0,72.0,18.0,46.0,8.0,3.0,2019-12-31
ALASKA,Palmer,7490.0,21.0,1.0,1.0,3.0,16.0,204.0,19.0,158.0,27.0,0.0,2019-12-31
ALASKA,Petersburg,3181.0,10.0,0.0,0.0,0.0,10.0,88.0,12.0,74.0,2.0,0.0,2019-12-31
ALASKA,Seward,2732.0,9.0,0.0,6.0,0.0,3.0,105.0,14.0,85.0,6.0,0.0,2019-12-31
ALASKA,Sitka,8512.0,16.0,0.0,2.0,4.0,10.0,168.0,18.0,139.0,11.0,0.0,2019-12-31
ALASKA,Skagway,1159.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,7.0,2.0,0.0,2019-12-31
ALASKA,Soldotna,4756.0,13.0,0.0,2.0,1.0,10.0,142.0,9.0,125.0,8.0,0.0,2019-12-31
ALASKA,Unalaska,4513.0,7.0,0.0,0.0,1.0,6.0,39.0,2.0,34.0,3.0,0.0,2019-12-31
ALASKA,Valdez,3816.0,5.0,0.0,0.0,0.0,5.0,40.0,2.0,34.0,4.0,0.0,2019-12-31
ALASKA,Wasilla,10915.0,48.0,1.0,5.0,14.0,28.0,580.0,115.0,425.0,40.0,4.0,2019-12-31
ALASKA,Wrangell,2489.0,2.0,0.0,2.0,0.0,0.0,11.0,3.0,7.0,1.0,0.0,2019-12-31
ARIZONA,Apache Junction4,42531.0,95.0,2.0,12.0,14.0,67.0,,,453.0,88.0,6.0,2019-12-31
ARIZONA,Avondale,87117.0,251.0,1.0,21.0,82.0,147.0,3095.0,381.0,2467.0,247.0,16.0,2019-12-31
ARIZONA,Buckeye,77904.0,107.0,2.0,26.0,10.0,69.0,1265.0,146.0,1050.0,69.0,1.0,2019-12-31
ARIZONA,Bullhead City,40532.0,129.0,2.0,23.0,25.0,79.0,1352.0,235.0,981.0,136.0,9.0,2019-12-31
ARIZONA,Camp Verde,11286.0,46.0,0.0,3.0,0.0,43.0,265.0,62.0,187.0,16.0,1.0,2019-12-31
ARIZONA,Casa Grande5,58366.0,274.0,2.0,27.0,33.0,212.0,1336.0,149.0,1071.0,116.0,11.0,2019-12-31
ARIZONA,Chandler,259881.0,593.0,4.0,134.0,102.0,353.0,5382.0,547.0,4458.0,377.0,19.0,2019-12-31
ARIZONA,Chino Valley,12162.0,37.0,0.0,1.0,0.0,36.0,154.0,32.0,107.0,15.0,0.0,2019-12-31
ARIZONA,Clarkdale,4434.0,3.0,0.0,0.0,0.0,3.0,44.0,16.0,26.0,2.0,0.0,2019-12-31
ARIZONA,Coolidge5,13138.0,70.0,2.0,2.0,5.0,61.0,393.0,73.0,290.0,30.0,5.0,2019-12-31
ARIZONA,Cottonwood,12331.0,45.0,0.0,0.0,5.0,40.0,422.0,37.0,359.0,26.0,2.0,2019-12-31
ARIZONA,Douglas,15786.0,10.0,0.0,0.0,0.0,10.0,594.0,88.0,486.0,20.0,0.0,2019-12-31
ARIZONA,Eagar5,4897.0,11.0,0.0,3.0,1.0,7.0,21.0,7.0,13.0,1.0,0.0,2019-12-31
ARIZONA,El Mirage,36185.0,84.0,2.0,22.0,14.0,46.0,982.0,362.0,523.0,97.0,5.0,2019-12-31
ARIZONA,Flagstaff,75013.0,367.0,1.0,42.0,43.0,281.0,2371.0,140.0,2169.0,62.0,33.0,2019-12-31
ARIZONA,Florence,26385.0,44.0,1.0,5.0,1.0,37.0,74.0,9.0,58.0,7.0,0.0,2019-12-31
ARIZONA,Fredonia,1296.0,1.0,0.0,0.0,0.0,1.0,13.0,3.0,8.0,2.0,0.0,2019-12-31
ARIZONA,Gilbert,253619.0,245.0,1.0,48.0,45.0,151.0,3050.0,403.0,2493.0,154.0,11.0,2019-12-31
ARIZONA,Glendale,253951.0,863.0,17.0,63.0,233.0,550.0,8083.0,1416.0,5857.0,810.0,,2019-12-31
ARIZONA,Globe,7323.0,134.0,0.0,0.0,4.0,130.0,525.0,70.0,424.0,31.0,1.0,2019-12-31
ARIZONA,Goodyear,85305.0,172.0,1.0,33.0,19.0,119.0,2045.0,330.0,1608.0,107.0,0.0,2019-12-31
ARIZONA,Hayden,979.0,8.0,0.0,0.0,1.0,7.0,35.0,19.0,13.0,3.0,2.0,2019-12-31
ARIZONA,Holbrook,5098.0,39.0,0.0,1.0,6.0,32.0,324.0,86.0,212.0,26.0,3.0,2019-12-31
ARIZONA,Huachuca City,1723.0,6.0,1.0,4.0,0.0,1.0,20.0,6.0,12.0,2.0,0.0,2019-12-31
ARIZONA,Jerome,459.0,1.0,0.0,0.0,0.0,1.0,19.0,7.0,12.0,0.0,0.0,2019-12-31
ARIZONA,Kearny,2170.0,1.0,0.0,1.0,0.0,0.0,14.0,7.0,6.0,1.0,1.0,2019-12-31
ARIZONA,Kingman,30600.0,100.0,0.0,9.0,12.0,79.0,1342.0,208.0,1039.0,95.0,28.0,2019-12-31
ARIZONA,Lake Havasu City,55413.0,87.0,1.0,29.0,3.0,54.0,670.0,108.0,519.0,43.0,2.0,2019-12-31
ARIZONA,Mammoth,1669.0,3.0,0.0,0.0,1.0,2.0,14.0,0.0,12.0,2.0,0.0,2019-12-31
ARIZONA,Marana,48816.0,35.0,0.0,7.0,9.0,19.0,1132.0,70.0,1020.0,42.0,2.0,2019-12-31
ARIZONA,Maricopa,50881.0,85.0,1.0,11.0,4.0,69.0,604.0,58.0,491.0,55.0,2.0,2019-12-31
ARIZONA,Mesa,518160.0,1953.0,11.0,286.0,390.0,1266.0,9683.0,1518.0,7326.0,839.0,27.0,2019-12-31
ARIZONA,Miami,1768.0,27.0,0.0,0.0,3.0,24.0,31.0,30.0,1.0,0.0,1.0,2019-12-31
ARIZONA,Nogales,20112.0,41.0,0.0,0.0,0.0,41.0,608.0,66.0,409.0,133.0,0.0,2019-12-31
ARIZONA,Oro Valley,45970.0,22.0,1.0,8.0,3.0,10.0,588.0,49.0,515.0,24.0,0.0,2019-12-31
ARIZONA,Page,7588.0,126.0,1.0,9.0,9.0,107.0,537.0,53.0,456.0,28.0,0.0,2019-12-31
ARIZONA,Paradise Valley,14733.0,10.0,0.0,5.0,2.0,3.0,161.0,35.0,119.0,7.0,0.0,2019-12-31
ARIZONA,Parker,3219.0,2.0,0.0,0.0,1.0,1.0,81.0,20.0,56.0,5.0,0.0,2019-12-31
ARIZONA,Payson,15760.0,59.0,0.0,1.0,4.0,54.0,288.0,60.0,208.0,20.0,3.0,2019-12-31
ARIZONA,Peoria,174571.0,407.0,4.0,70.0,83.0,250.0,3273.0,438.0,2592.0,243.0,9.0,2019-12-31
ARIZONA,Phoenix,1688722.0,11803.0,131.0,1139.0,3197.0,7336.0,55974.0,9471.0,39427.0,7076.0,201.0,2019-12-31
ARIZONA,Pima,2530.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,21.0,5.0,0.0,2019-12-31
ARIZONA,Pinetop-Lakeside,4452.0,21.0,0.0,4.0,1.0,16.0,143.0,32.0,104.0,7.0,0.0,2019-12-31
ARIZONA,Prescott,43781.0,214.0,1.0,20.0,11.0,182.0,684.0,134.0,518.0,32.0,5.0,2019-12-31
ARIZONA,Prescott Valley,46700.0,93.0,3.0,11.0,6.0,73.0,474.0,51.0,404.0,19.0,2.0,2019-12-31
ARIZONA,Safford,9916.0,21.0,0.0,0.0,0.0,21.0,363.0,33.0,311.0,19.0,0.0,2019-12-31
ARIZONA,Sahuarita,30928.0,43.0,1.0,11.0,6.0,25.0,345.0,44.0,272.0,29.0,3.0,2019-12-31
ARIZONA,San Luis5,34192.0,33.0,0.0,0.0,2.0,31.0,420.0,53.0,262.0,105.0,2.0,2019-12-31
ARIZONA,Scottsdale,260464.0,415.0,3.0,136.0,110.0,166.0,5099.0,662.0,4173.0,264.0,15.0,2019-12-31
ARIZONA,Show Low,11401.0,59.0,0.0,6.0,2.0,51.0,332.0,38.0,277.0,17.0,0.0,2019-12-31
ARIZONA,Sierra Vista,44310.0,116.0,2.0,7.0,16.0,91.0,987.0,124.0,800.0,63.0,3.0,2019-12-31
ARIZONA,Snowflake-Taylor,10173.0,53.0,1.0,0.0,1.0,51.0,151.0,51.0,85.0,15.0,0.0,2019-12-31
ARIZONA,Somerton5,16771.0,36.0,6.0,1.0,4.0,25.0,129.0,25.0,80.0,24.0,0.0,2019-12-31
